,name,volatilidad_diaria,volatilidad_semanal,volatilidad_mensual,volatilidad_trimestral,clasificacion
0,Aragon,0.07197832030880154,0.17294489134258914,0.35669044581081844,0.6002074083927302,Media
1,Bitcoin Avalanche Bridged (BTC.b),0.03158439329450239,0.07781416008921822,0.14382018581547093,0.24910363759666576,Baja
2,Bitget Token,0.22943312155069892,0.6195512094794137,1.3577820521522628,3.428627036471555,Alta
3,Gains Network,0.07606504956776688,0.21191724245768384,0.8920544576744056,0.9886684134795543,Media
4,Kaspa,0.11674517166099838,0.4736975668701846,1.9805728635248665,3.4639764160058784,Alta
5,Mantle,0.02573038618852679,0.05794397603673419,0.06543480873947442,,Baja
6,Open Exchange Token,0.10057225933826011,0.3410480146849807,0.6799899383160964,,Alta
7,Optimism,0.0785579421715331,0.22388154124688547,0.6302687706968522,0.7896869255379966,Media
8,Render,0.09718266529054116,0.2892965293362609,1.126368415877947,2.7609683857337552,Media
9,Rocket Pool,0.06844033517392463,0.18670212027074898,0.46137294008334384,1.2949950364998766,Media
10,Rollbit Coin,0.11448977997518488,0.37471824763115424,2.1440570956733214,5.452301536021099,Alta
11,SingularityNET,0.1733997744561588,0.36854689230400645,0.8254375253888792,2.4764679850925786,Alta
12,USDD,0.003303468902273786,0.006781174735202004,0.009934639649778166,0.011833573539353978,Baja
13,Worldcoin,0.04984684370434216,0.10371468070496762,0.023081095813066367,,Baja
14,tomiNet,0.10302710879967629,0.5064159623173672,0.6942380475487865,1.8013950092843123,Alta
