,name,volatilidad_diaria,volatilidad_semanal,volatilidad_mensual,volatilidad_trimestral,clasificacion
0,Aragon,0.04071976108993114,0.10889444402793359,0.19478549458569924,0.2216694538603021,Baja
1,Bitcoin Avalanche Bridged (BTC.b),0.030751569314936195,0.07834024852672986,0.15011438541811692,0.24506058745843523,Baja
2,Bitcoin Cash,0.04312972505500864,0.1728561773760918,0.43950209753146824,0.43282046660241824,Baja
3,Bone ShibaSwap,0.054193274804146145,0.14539767622033103,0.3519060620183604,0.6259376170638806,Media
4,FLOKI,0.095040054224539,0.2772604368765598,0.8791585912285372,1.5454416473209738,Media
5,Litecoin,0.03935643382900336,0.10077808330914242,0.1748884371810606,0.24925619442693137,Baja
6,Marinade staked SOL,0.0492620609079056,0.14611162658946825,0.40545238614412255,0.4538432685994413,Baja
7,OKB,0.03526314186427651,0.09829288705725445,0.2135577308524652,0.5182769250109592,Baja
8,Ocean Protocol,0.049465381939675285,0.12895014474356883,0.38879317778690514,0.8014479951649315,Baja
9,PAX Gold,0.007693940297924908,0.016696022744333787,0.04336337937127932,0.06362722371844728,Baja
10,Solana,0.05028898161131987,0.14685680348411337,0.40340476037299905,0.4446924325417871,Media
11,Stellar,0.04684968840486097,0.10194090952101105,0.2395178712902565,0.27278611797349367,Baja
12,Uniswap,0.034866345997902365,0.08286062037391176,0.1504176369766682,0.1598967994728147,Baja
13,WOO Network,0.053251513364879814,0.14639612883178632,0.27418506357758926,0.38469308238497213,Media
14,Wrapped Bitcoin,0.022873392918257116,0.07164874663221144,0.1486300973596647,0.24592027945741482,Baja
15,XRP,0.05436956493336434,0.12336534760583856,0.21270253589152355,0.24296648943009572,Media
16,aelf,0.026078691754503124,0.062354091709378195,0.17722517901436657,0.48639127294059764,Baja
17,dYdX,0.059379986342065844,0.1695213808933831,0.4280456714386256,0.45551608517577574,Media
